epoc (ms),timestamp (-0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1515983969561,2018-01-14T18.39.29.561,0.000,-0.013,-0.062,0.994
1515983969561,2018-01-14T18.39.29.561,0.000,-0.013,-0.062,1.003
1515983969561,2018-01-14T18.39.29.561,0.000,-0.014,-0.063,1.000
1515983969801,2018-01-14T18.39.29.801,0.240,-0.014,-0.063,1.000
1515983969801,2018-01-14T18.39.29.801,0.240,-0.013,-0.062,1.001
1515983969801,2018-01-14T18.39.29.801,0.240,-0.013,-0.062,1.000
1515983970041,2018-01-14T18.39.30.041,0.480,-0.013,-0.063,1.000
1515983970041,2018-01-14T18.39.30.041,0.480,-0.014,-0.063,1.000
1515983970041,2018-01-14T18.39.30.041,0.480,-0.013,-0.062,1.000
1515983970281,2018-01-14T18.39.30.281,0.720,-0.013,-0.063,1.000
1515983970281,2018-01-14T18.39.30.281,0.720,-0.013,-0.063,1.000
1515983970281,2018-01-14T18.39.30.281,0.720,-0.014,-0.064,1.000
1515983970521,2018-01-14T18.39.30.521,0.960,-0.013,-0.063,1.001
1515983970521,2018-01-14T18.39.30.521,0.960,-0.014,-0.063,1.001
1515983970521,2018-01-14T18.39.30.521,0.960,-0.013,-0.062,1.000
1515983970761,2018-01-14T18.39.30.761,1.200,-0.013,-0.062,1.000
1515983970761,2018-01-14T18.39.30.761,1.200,-0.013,-0.063,1.000
1515983970761,2018-01-14T18.39.30.761,1.200,-0.014,-0.063,1.000
1515983971001,2018-01-14T18.39.31.001,1.440,-0.013,-0.062,1.000
1515983971001,2018-01-14T18.39.31.001,1.440,-0.013,-0.062,1.000
1515983971001,2018-01-14T18.39.31.001,1.440,-0.014,-0.063,1.000
1515983971241,2018-01-14T18.39.31.241,1.680,-0.013,-0.063,1.000
1515983971241,2018-01-14T18.39.31.241,1.680,-0.013,-0.063,1.000
1515983971241,2018-01-14T18.39.31.241,1.680,-0.012,-0.062,1.000
1515983971483,2018-01-14T18.39.31.483,1.922,-0.013,-0.063,1.001
1515983971483,2018-01-14T18.39.31.483,1.922,-0.014,-0.063,1.002
1515983971483,2018-01-14T18.39.31.483,1.922,-0.013,-0.062,1.001
1515983971722,2018-01-14T18.39.31.722,2.161,-0.013,-0.062,1.000
1515983971722,2018-01-14T18.39.31.722,2.161,-0.013,-0.062,1.000
1515983971722,2018-01-14T18.39.31.722,2.161,-0.013,-0.063,1.000
1515983971962,2018-01-14T18.39.31.962,2.401,-0.013,-0.062,1.001
1515983971962,2018-01-14T18.39.31.962,2.401,-0.013,-0.062,1.000
1515983971962,2018-01-14T18.39.31.962,2.401,-0.013,-0.062,1.000
1515983972201,2018-01-14T18.39.32.201,2.640,-0.013,-0.063,1.001
1515983972201,2018-01-14T18.39.32.201,2.640,-0.013,-0.063,1.000
1515983972201,2018-01-14T18.39.32.201,2.640,-0.013,-0.063,1.000
1515983972441,2018-01-14T18.39.32.441,2.880,-0.014,-0.063,1.001
1515983972441,2018-01-14T18.39.32.441,2.880,-0.013,-0.063,1.000
1515983972441,2018-01-14T18.39.32.441,2.880,-0.013,-0.062,1.000
1515983972650,2018-01-14T18.39.32.650,3.089,-0.014,-0.062,1.000
1515983972650,2018-01-14T18.39.32.650,3.089,-0.014,-0.062,1.000
1515983972650,2018-01-14T18.39.32.650,3.089,-0.013,-0.063,1.001
1515983972891,2018-01-14T18.39.32.891,3.330,-0.014,-0.063,1.000
1515983972891,2018-01-14T18.39.32.891,3.330,-0.013,-0.062,1.001
1515983972891,2018-01-14T18.39.32.891,3.330,-0.013,-0.062,1.001
1515983973132,2018-01-14T18.39.33.132,3.571,-0.013,-0.062,1.000
