epoc (ms),timestamp (-0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1516040740853,2018-01-15T10.25.40.853,0.000,-0.024,-0.044,0.995
1516040740853,2018-01-15T10.25.40.853,0.000,-0.025,-0.043,1.006
1516040740853,2018-01-15T10.25.40.853,0.000,-0.026,-0.046,1.000
1516040740859,2018-01-15T10.25.40.859,0.006,-0.023,-0.043,1.000
1516040740859,2018-01-15T10.25.40.859,0.006,-0.020,-0.044,1.000
1516040740859,2018-01-15T10.25.40.859,0.006,-0.023,-0.043,1.005
1516040740883,2018-01-15T10.25.40.883,0.030,-0.021,-0.044,0.999
1516040740883,2018-01-15T10.25.40.883,0.030,-0.026,-0.044,1.002
1516040740883,2018-01-15T10.25.40.883,0.030,-0.026,-0.045,1.001
1516040740889,2018-01-15T10.25.40.889,0.036,-0.027,-0.045,1.002
1516040740889,2018-01-15T10.25.40.889,0.036,-0.022,-0.049,1.000
1516040740889,2018-01-15T10.25.40.889,0.036,-0.021,-0.048,1.001
1516040740913,2018-01-15T10.25.40.913,0.060,-0.024,-0.046,1.001
1516040740913,2018-01-15T10.25.40.913,0.060,-0.022,-0.050,1.001
1516040740913,2018-01-15T10.25.40.913,0.060,-0.021,-0.046,0.999
1516040740920,2018-01-15T10.25.40.920,0.067,-0.021,-0.045,0.999
1516040740920,2018-01-15T10.25.40.920,0.067,-0.025,-0.046,0.996
1516040740920,2018-01-15T10.25.40.920,0.067,-0.027,-0.048,1.000
1516040740943,2018-01-15T10.25.40.943,0.090,-0.025,-0.048,1.001
1516040740943,2018-01-15T10.25.40.943,0.090,-0.022,-0.046,1.001
1516040740943,2018-01-15T10.25.40.943,0.090,-0.024,-0.048,0.998
1516040740947,2018-01-15T10.25.40.947,0.094,-0.026,-0.047,0.997
1516040740947,2018-01-15T10.25.40.947,0.094,-0.028,-0.047,1.000
1516040740947,2018-01-15T10.25.40.947,0.094,-0.024,-0.049,1.002
1516040740973,2018-01-15T10.25.40.973,0.120,-0.024,-0.050,1.001
1516040740973,2018-01-15T10.25.40.973,0.120,-0.026,-0.048,1.002
1516040740973,2018-01-15T10.25.40.973,0.120,-0.027,-0.050,1.004
1516040740986,2018-01-15T10.25.40.986,0.133,-0.028,-0.049,0.997
