epoc (ms),timestamp (-0800),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1642202912189,2022-01-14T15.28.32.189,0.000,0.210,-0.522,-0.811
1642202912270,2022-01-14T15.28.32.270,0.081,0.212,-0.527,-0.818
1642202912350,2022-01-14T15.28.32.350,0.161,0.211,-0.526,-0.816
1642202912431,2022-01-14T15.28.32.431,0.242,0.211,-0.526,-0.815
1642202912511,2022-01-14T15.28.32.511,0.322,0.211,-0.526,-0.816
1642202912592,2022-01-14T15.28.32.592,0.403,0.211,-0.526,-0.816
1642202912671,2022-01-14T15.28.32.671,0.482,0.211,-0.526,-0.816
1642202912751,2022-01-14T15.28.32.751,0.562,0.211,-0.526,-0.816
1642202912832,2022-01-14T15.28.32.832,0.643,0.211,-0.526,-0.816
1642202912913,2022-01-14T15.28.32.913,0.724,0.211,-0.526,-0.817
1642202912993,2022-01-14T15.28.32.993,0.804,0.211,-0.526,-0.816
1642202913074,2022-01-14T15.28.33.074,0.885,0.212,-0.526,-0.816
1642202913153,2022-01-14T15.28.33.153,0.964,0.211,-0.526,-0.816
1642202913233,2022-01-14T15.28.33.233,1.044,0.211,-0.526,-0.816
1642202913314,2022-01-14T15.28.33.314,1.125,0.211,-0.526,-0.816
1642202913395,2022-01-14T15.28.33.395,1.206,0.211,-0.526,-0.816
1642202913475,2022-01-14T15.28.33.475,1.286,0.211,-0.526,-0.816
1642202913556,2022-01-14T15.28.33.556,1.367,0.211,-0.526,-0.815
1642202913635,2022-01-14T15.28.33.635,1.446,0.211,-0.526,-0.816
1642202913715,2022-01-14T15.28.33.715,1.526,0.212,-0.525,-0.815
1642202913796,2022-01-14T15.28.33.796,1.607,0.211,-0.526,-0.816
1642202913876,2022-01-14T15.28.33.876,1.687,0.211,-0.526,-0.816
1642202913957,2022-01-14T15.28.33.957,1.768,0.211,-0.526,-0.816
1642202914038,2022-01-14T15.28.34.038,1.849,0.211,-0.526,-0.816
1642202914117,2022-01-14T15.28.34.117,1.928,0.212,-0.526,-0.816
1642202914197,2022-01-14T15.28.34.197,2.008,0.212,-0.526,-0.816
1642202914278,2022-01-14T15.28.34.278,2.089,0.210,-0.526,-0.816
1642202914358,2022-01-14T15.28.34.358,2.169,0.211,-0.526,-0.815
1642202914439,2022-01-14T15.28.34.439,2.250,0.212,-0.526,-0.816
1642202914520,2022-01-14T15.28.34.520,2.331,0.211,-0.526,-0.816
1642202914599,2022-01-14T15.28.34.599,2.410,0.211,-0.526,-0.816
1642202914679,2022-01-14T15.28.34.679,2.490,0.211,-0.526,-0.816
1642202914760,2022-01-14T15.28.34.760,2.571,0.212,-0.526,-0.816
1642202914840,2022-01-14T15.28.34.840,2.651,0.212,-0.526,-0.816
